Rank,Municipality,Type,County,Per capita income,Median household income,Median family income,Population,Number of households
309,Templeton,Town,Worcester,"$27,657","$65,165","$77,912","8,044","2,977"
310,Wendell,Town,Franklin,"$27,575","$48,000","$60,000",980,444
311,North Brookfield,Town,Worcester,"$27,452","$54,439","$72,393","4,706","1,844"
312,Huntington,Town,Hampshire,"$27,331","$55,526","$74,426","2,037",824
313,Greenfield,City,Franklin,"$27,267","$48,230","$54,817","17,526","7,786"
314,Winchendon,Town,Worcester,"$27,204","$58,288","$78,969","10,386","4,062"
315,Warren,Town,Worcester,"$27,074","$42,478","$52,500","5,135","2,066"
316,Montague,Town,Franklin,"$26,889","$45,342","$70,444","8,422","3,715"
317,Florida,Town,Berkshire,"$26,852","$54,375","$64,722",774,341
318,Charlemont,Town,Franklin,"$26,720","$50,329","$55,833","1,256",551
319,Malden,City,Middlesex,"$26,642","$53,798","$61,897","59,803","22,952"
320,Taunton,City,Bristol,"$26,446","$51,637","$66,969","55,953","21,657"
321,Peru,Town,Berkshire,"$26,436","$67,813","$73,958",872,331
322,Chester,Town,Hampden,"$26,415","$65,563","$76,625","1,465",547
323,Webster,Town,Worcester,"$26,411","$47,885","$57,038","16,782","6,930"
324,Pittsfield,City,Berkshire,"$26,304","$42,114","$56,896","44,431","19,724"
325,Revere,City,Suffolk,"$26,092","$51,863","$59,231","52,534","19,763"
326,Palmer,City,Hampden,"$25,993","$50,668","$60,247","12,155","4,968"
327,Gosnold,Town,Dukes,"$25,741","$30,833","$39,167",75,60
328,Erving,Town,Franklin,"$25,165","$54,735","$63,333","1,784",723
329,Chicopee,City,Hampden,"$24,810","$46,708","$57,760","55,478","23,003"
330,Adams,Town,Berkshire,"$24,686","$40,318","$51,750","8,418","3,705"
331,Shirley,Town,Middlesex,"$24,469","$65,882","$78,938","7,435","2,212"
332,Worcester,City,Worcester,"$24,330","$45,932","$57,704","181,901","68,850"
333,Rowe,Town,Franklin,"$23,932","$53,750","$59,286",493,199
334,Monroe,Town,Franklin,"$23,709","$36,875","$67,969",117,63
335,Everett,City,Middlesex,"$23,410","$49,368","$54,318","42,092","15,298"
336,Gardner,City,Worcester,"$23,327","$48,843","$63,184","20,251","7,896"
337,Lowell,City,Middlesex,"$23,136","$49,452","$55,915","107,466","39,258"
338,Athol,Town,Worcester,"$23,036","$46,964","$59,688","11,605","4,616"
339,Lynn,City,Essex,"$22,982","$44,849","$53,557","90,788","33,122"
340,Fitchburg,City,Worcester,"$22,620","$45,363","$53,810","40,358","14,931"
341,Brockton,City,Plymouth,"$21,942","$49,025","$57,773","93,911","32,856"
342,Southbridge,City,Worcester,"$21,579","$42,471","$52,360","16,741","6,500"
343,North Adams,City,Berkshire,"$21,263","$38,317","$51,071","13,657","5,874"
344,Fall River,City,Bristol,"$21,257","$33,211","$42,962","88,811","38,258"
